LOB,Client,SurveyDate,ReqOrRec,DateIssued,RequiredByDate,RiskImprovementTitle,Status,StatusDate,RiskEngineer,Underwriter,DaysToComplete,IsOpen,DaysOverdue,HasDeadline,LeadTimeDays,RiskCategory,EngineerLoad,ClientOpenImprovements
Property,3CA67D68801623BB3152696DFCB3B5DB,2020-10-30,Recommendation,2020-03-08,,Security,Agreed Long Term,2022-12-20,5CE8266757B27623F18AB526111231B6,F4A5F77DBC261A64BD853D05F8410365,1017.0,True,0.0,False,,Security,310,5
Property,3CA67D68801623BB3152696DFCB3B5DB,2020-10-30,Requirement,2020-03-08,2020-04-08,Security,In Process,2021-07-13,5CE8266757B27623F18AB526111231B6,F4A5F77DBC261A64BD853D05F8410365,492.0,True,1959.0,True,31.0,Security,310,5
Property,3CA67D68801623BB3152696DFCB3B5DB,2020-10-30,Requirement,2020-03-08,2020-06-08,Fire_Safety_Management,No Response,2023-08-03,5CE8266757B27623F18AB526111231B6,F4A5F77DBC261A64BD853D05F8410365,1243.0,True,1898.0,True,92.0,Other,310,5
Property,3CA67D68801623BB3152696DFCB3B5DB,2020-10-30,Requirement,2020-03-08,2020-06-08,General_Maintenance,No Response,2023-03-08,5CE8266757B27623F18AB526111231B6,F4A5F77DBC261A64BD853D05F8410365,1095.0,True,1898.0,True,92.0,Other,310,5
Liability,C6A561CA65ABFB5A5094721F2E2A9098,2024-03-26,Requirement,2024-03-28,2024-05-28,Contractor_Controls,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,B78CC6909042016DAAA04D83BAC97E90,,True,448.0,True,61.0,Other,217,6
Liability,C6A561CA65ABFB5A5094721F2E2A9098,2024-03-26,Requirement,2024-03-28,2024-05-28,WRULD,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,B78CC6909042016DAAA04D83BAC97E90,,True,448.0,True,61.0,Other,217,6
Liability,C6A561CA65ABFB5A5094721F2E2A9098,2024-03-26,Requirement,2024-03-28,2024-06-28,Legionella,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,B78CC6909042016DAAA04D83BAC97E90,,True,417.0,True,92.0,Other,217,6
Liability,C6A561CA65ABFB5A5094721F2E2A9098,2024-03-26,Recommendation,2024-03-28,,Claims_Defensibility,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,B78CC6909042016DAAA04D83BAC97E90,,True,0.0,False,,Other,217,6
Liability,C6A561CA65ABFB5A5094721F2E2A9098,2024-03-26,Recommendation,2024-03-28,,Emergency_Response,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,B78CC6909042016DAAA04D83BAC97E90,,True,0.0,False,,Other,217,6
Liability,C6A561CA65ABFB5A5094721F2E2A9098,2024-03-26,Recommendation,2024-03-28,,Claims_Defensibility,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,B78CC6909042016DAAA04D83BAC97E90,,True,0.0,False,,Other,217,6
Property,03ABB455465B208547106B499C9A4CDA,2023-12-18,Requirement,2023-12-22,2024-01-22,Flammable_Liquids,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,5BC06F5800D415CC95E1349EDBACA425,,True,575.0,True,31.0,Other,217,9
Property,03ABB455465B208547106B499C9A4CDA,2023-12-18,Requirement,2023-12-22,2024-02-22,Heating_and_Cooling,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,5BC06F5800D415CC95E1349EDBACA425,,True,544.0,True,62.0,Other,217,9
Property,03ABB455465B208547106B499C9A4CDA,2023-12-18,Requirement,2023-12-22,2024-03-22,Automatic_Fire_Detection,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,5BC06F5800D415CC95E1349EDBACA425,,True,515.0,True,91.0,Other,217,9
Property,03ABB455465B208547106B499C9A4CDA,2023-12-18,Requirement,2023-12-22,2024-02-22,External_Storage,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,5BC06F5800D415CC95E1349EDBACA425,,True,544.0,True,62.0,Other,217,9
Property,03ABB455465B208547106B499C9A4CDA,2023-12-18,Requirement,2023-12-22,2024-01-22,Automatic_Fire_Detection,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,5BC06F5800D415CC95E1349EDBACA425,,True,575.0,True,31.0,Other,217,9
Property,03ABB455465B208547106B499C9A4CDA,2023-12-18,Requirement,2023-12-22,2024-04-22,General_Maintenance,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,5BC06F5800D415CC95E1349EDBACA425,,True,484.0,True,122.0,Other,217,9
Property,03ABB455465B208547106B499C9A4CDA,2023-12-18,Requirement,2023-12-22,2024-03-22,Process_Hazards,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,5BC06F5800D415CC95E1349EDBACA425,,True,515.0,True,91.0,Other,217,9
Property,03ABB455465B208547106B499C9A4CDA,2023-12-18,Recommendation,2023-12-22,,Housekeeping,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,5BC06F5800D415CC95E1349EDBACA425,,True,0.0,False,,Housekeeping,217,9
Property,03ABB455465B208547106B499C9A4CDA,2023-12-18,Recommendation,2023-12-22,,Smoking,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,5BC06F5800D415CC95E1349EDBACA425,,True,0.0,False,,Combustibles,217,9
Property,705591FA7BD47474978572607E2B7CB0,2021-06-14,Recommendation,2021-06-23,,Management_of_Change,Completed Verified,2022-03-28,7B6166324DC52F374D908E03602B1DAF,3138B8E6061FDF7CFAAA79279175CBCD,278.0,True,0.0,False,,Other,14,2
Property,705591FA7BD47474978572607E2B7CB0,2021-06-14,Recommendation,2021-06-23,,Impairment_Procedures,Completed Verified,2022-03-28,7B6166324DC52F374D908E03602B1DAF,3138B8E6061FDF7CFAAA79279175CBCD,278.0,True,0.0,False,,Other,14,2
Liability,44F87115DFD63060860A59B2BC69C5AA,2023-09-12,Requirement,2023-11-28,2023-02-01,RPE Face Fit Testing,No Response,,5CE8266757B27623F18AB526111231B6,1D7B33FC26CA22C2011AAA97FECC43D8,,True,930.0,True,-300.0,Maintenance,310,2
Liability,44F87115DFD63060860A59B2BC69C5AA,2023-09-12,Recommendation,2023-11-28,,IOSH Managing & Working Safely Courses,No Response,,5CE8266757B27623F18AB526111231B6,C556331DE98FF0977430DADE00C6C714,,True,0.0,False,,Other,310,2
Motor,30379BDC4D23E07C6DAF6899AC326E99,2022-07-11,Requirement,2022-07-12,2022-07-18,Management_safety_procedure_for_vehilces,Completed Verified,2022-08-22,534AC75C2E8AC3E3FE7BC32BB8C6E34A,A06B33D1EA28E90733617EC889D4E76E,41.0,True,1128.0,True,6.0,Other,79,8
Motor,30379BDC4D23E07C6DAF6899AC326E99,2022-07-11,Recommendation,2022-07-12,,Management_safety_procedure_for_vehilces,Completed Verified,2022-08-22,534AC75C2E8AC3E3FE7BC32BB8C6E34A,A06B33D1EA28E90733617EC889D4E76E,41.0,True,0.0,False,,Other,79,8
Motor,30379BDC4D23E07C6DAF6899AC326E99,2022-07-11,Requirement,2022-08-22,2022-08-30,Management_safety_procedure_for_vehilces,Completed Verified,2022-08-22,534AC75C2E8AC3E3FE7BC32BB8C6E34A,A06B33D1EA28E90733617EC889D4E76E,0.0,True,1085.0,True,8.0,Other,79,8
Motor,30379BDC4D23E07C6DAF6899AC326E99,2022-09-02,Requirement,2022-09-02,2022-09-16,Management_safety_procedure_for_vehilces,Completed Verified,2022-09-08,534AC75C2E8AC3E3FE7BC32BB8C6E34A,A06B33D1EA28E90733617EC889D4E76E,6.0,True,1068.0,True,14.0,Other,79,8
Motor,30379BDC4D23E07C6DAF6899AC326E99,2022-09-02,Requirement,2022-09-02,2022-09-16,Management_safety_procedure_for_vehilces,Completed Verified,2022-09-08,534AC75C2E8AC3E3FE7BC32BB8C6E34A,A06B33D1EA28E90733617EC889D4E76E,6.0,True,1068.0,True,14.0,Other,79,8
Motor,30379BDC4D23E07C6DAF6899AC326E99,2022-09-02,Requirement,2022-09-02,2022-09-16,Management_safety_procedure_for_vehilces,Completed Verified,2022-09-08,534AC75C2E8AC3E3FE7BC32BB8C6E34A,A06B33D1EA28E90733617EC889D4E76E,6.0,True,1068.0,True,14.0,Other,79,8
Motor,30379BDC4D23E07C6DAF6899AC326E99,2022-09-02,Requirement,2022-09-02,2022-09-16,Management_safety_procedure_for_vehilces,Completed Verified,2022-09-08,534AC75C2E8AC3E3FE7BC32BB8C6E34A,A06B33D1EA28E90733617EC889D4E76E,6.0,True,1068.0,True,14.0,Other,79,8
Motor,30379BDC4D23E07C6DAF6899AC326E99,2022-09-02,Requirement,2022-09-02,2022-09-16,Management_safety_procedure_for_vehilces,Completed Verified,2022-09-08,534AC75C2E8AC3E3FE7BC32BB8C6E34A,A06B33D1EA28E90733617EC889D4E76E,6.0,True,1068.0,True,14.0,Other,79,8
Property,8672525073063DB022DCA4FB3D6EC3A5,2023-04-19,Recommendation,,,Process_Hazards,In Process,2023-06-02,FBD1E7BA9564863B88D5C43CB833AFAF,F4A5F77DBC261A64BD853D05F8410365,,True,0.0,False,,Other,414,8
Property,8672525073063DB022DCA4FB3D6EC3A5,2023-04-19,Recommendation,,,Process_Hazards,In Process,2023-06-02,FBD1E7BA9564863B88D5C43CB833AFAF,F4A5F77DBC261A64BD853D05F8410365,,True,0.0,False,,Other,414,8
Property,8672525073063DB022DCA4FB3D6EC3A5,2023-04-19,Recommendation,,,Construction,In Process,2023-06-02,FBD1E7BA9564863B88D5C43CB833AFAF,F4A5F77DBC261A64BD853D05F8410365,,True,0.0,False,,Other,414,8
Property,8672525073063DB022DCA4FB3D6EC3A5,2023-04-19,Recommendation,,,Special_Fixed_Fire_Protection,In Process,2023-06-02,FBD1E7BA9564863B88D5C43CB833AFAF,F4A5F77DBC261A64BD853D05F8410365,,True,0.0,False,,Other,414,8
Property,8672525073063DB022DCA4FB3D6EC3A5,2023-05-17,Recommendation,,,Automatic_Fire_Detection,In Process,2023-06-02,FBD1E7BA9564863B88D5C43CB833AFAF,F4A5F77DBC261A64BD853D05F8410365,,True,0.0,False,,Other,414,8
Property,8672525073063DB022DCA4FB3D6EC3A5,2023-05-17,Recommendation,,,Special_Fixed_Fire_Protection,In Process,2023-06-02,FBD1E7BA9564863B88D5C43CB833AFAF,F4A5F77DBC261A64BD853D05F8410365,,True,0.0,False,,Other,414,8
Property,8672525073063DB022DCA4FB3D6EC3A5,2023-05-17,Recommendation,,,Housekeeping,In Process,2023-06-02,FBD1E7BA9564863B88D5C43CB833AFAF,F4A5F77DBC261A64BD853D05F8410365,,True,0.0,False,,Housekeeping,414,8
Property,8672525073063DB022DCA4FB3D6EC3A5,2023-05-17,Recommendation,,,Impairment_Procedures,In Process,2023-06-02,FBD1E7BA9564863B88D5C43CB833AFAF,F4A5F77DBC261A64BD853D05F8410365,,True,0.0,False,,Other,414,8
Property,3CC0D555724E0A7FEB197DD170BEE59E,2023-11-14,Requirement,2023-12-18,2024-02-18,Compartmentation,Completed Verified,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,548.0,True,62.0,Other,414,5
Property,3CC0D555724E0A7FEB197DD170BEE59E,2023-11-14,Requirement,2023-12-18,2024-02-18,Compartmentation,Completed Verified,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,548.0,True,62.0,Other,414,5
Property,3CC0D555724E0A7FEB197DD170BEE59E,2023-11-14,Requirement,2023-12-18,2024-02-18,Sprinkler_Protection,Completed Verified,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,548.0,True,62.0,Other,414,5
Property,3CC0D555724E0A7FEB197DD170BEE59E,2023-11-14,Requirement,2023-12-18,2024-02-18,Process_Hazards,Completed Verified,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,548.0,True,62.0,Other,414,5
Property,3CC0D555724E0A7FEB197DD170BEE59E,2023-11-14,Requirement,2023-12-18,2024-02-18,Sprinkler_Protection,Completed Verified,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,548.0,True,62.0,Other,414,5
Liability,07CCA1487367D40BA8611BE215676AFD,2024-01-24,Recommendation,2024-01-30,,Slips_Trips_Falls,No Response,,47B79BD259E22596FFC4BE2FFBBE5C5A,AA53CA0B650DFD85C4F59FA156F7A2CC,,True,0.0,False,,Other,217,1
Property,44296D283FE84B97DC77D82DE59F1B1F,2022-07-07,Requirement,2022-07-12,2022-10-12,Security,Completed Not Verified,2023-04-26,5CE8266757B27623F18AB526111231B6,79CBA1185463850DEDBA31F172F1DC5B,288.0,True,1042.0,True,92.0,Security,310,6
Property,44296D283FE84B97DC77D82DE59F1B1F,2022-07-07,Requirement,2022-07-12,2022-10-12,Security,Completed Not Verified,2023-04-26,5CE8266757B27623F18AB526111231B6,79CBA1185463850DEDBA31F172F1DC5B,288.0,True,1042.0,True,92.0,Security,310,6
Property,44296D283FE84B97DC77D82DE59F1B1F,2022-07-07,Requirement,2022-07-12,2022-10-12,Security,Completed Not Verified,2023-04-26,5CE8266757B27623F18AB526111231B6,79CBA1185463850DEDBA31F172F1DC5B,288.0,True,1042.0,True,92.0,Security,310,6
Property,44296D283FE84B97DC77D82DE59F1B1F,2022-07-07,Requirement,2022-07-12,2022-10-12,Security,Completed Not Verified,2023-04-26,5CE8266757B27623F18AB526111231B6,79CBA1185463850DEDBA31F172F1DC5B,288.0,True,1042.0,True,92.0,Security,310,6
Property,44296D283FE84B97DC77D82DE59F1B1F,2022-07-07,Requirement,2022-07-12,2022-10-12,Security,Completed Verified,2022-11-01,5CE8266757B27623F18AB526111231B6,79CBA1185463850DEDBA31F172F1DC5B,112.0,True,1042.0,True,92.0,Security,310,6
Property,44296D283FE84B97DC77D82DE59F1B1F,2022-07-07,Recommendation,2022-07-12,,Security,Completed Not Verified,2023-04-26,5CE8266757B27623F18AB526111231B6,79CBA1185463850DEDBA31F172F1DC5B,288.0,True,0.0,False,,Security,310,6
Property,18B5A802B4CB95B1D0F0E0EBFE8E1E09,2023-03-13,Requirement,2023-03-27,2023-06-28,Compartmentation,Completed Not Verified,2023-07-07,FBD1E7BA9564863B88D5C43CB833AFAF,94A990462684A2FBB5DFC7FAB1C8975D,102.0,True,783.0,True,93.0,Other,414,2
Property,18B5A802B4CB95B1D0F0E0EBFE8E1E09,2023-03-13,Requirement,2023-03-27,2023-06-28,Housekeeping,Completed Not Verified,2023-07-07,FBD1E7BA9564863B88D5C43CB833AFAF,94A990462684A2FBB5DFC7FAB1C8975D,102.0,True,783.0,True,93.0,Housekeeping,414,2
Property,6D4557058E9DCED0379A05B8A6A0B595,2024-05-19,Requirement,2024-06-06,2024-08-06,Compartmentation,In Process,2024-07-22,47B79BD259E22596FFC4BE2FFBBE5C5A,F003C44DEAB679AA2EDFAFF864C77402,46.0,True,378.0,True,61.0,Other,217,4
Property,6D4557058E9DCED0379A05B8A6A0B595,2024-05-19,Requirement,2024-06-06,2024-07-06,Automatic_Fire_Detection,In Process,2024-07-22,47B79BD259E22596FFC4BE2FFBBE5C5A,F003C44DEAB679AA2EDFAFF864C77402,46.0,True,409.0,True,30.0,Other,217,4
Property,6D4557058E9DCED0379A05B8A6A0B595,2024-05-19,Requirement,2024-06-06,2024-08-06,Fire_Safety_Management,In Process,2024-07-22,47B79BD259E22596FFC4BE2FFBBE5C5A,F003C44DEAB679AA2EDFAFF864C77402,46.0,True,378.0,True,61.0,Other,217,4
Property,6D4557058E9DCED0379A05B8A6A0B595,2024-05-19,Recommendation,2024-06-06,,Process_Hazards,In Process,2024-07-22,47B79BD259E22596FFC4BE2FFBBE5C5A,F003C44DEAB679AA2EDFAFF864C77402,46.0,True,0.0,False,,Other,217,4
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-09-07,Compartmentation,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-09-07,Fire_Safety_Management,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-09-07,Flammable_Liquids,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-09-07,Flammable_Liquids,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-09-07,Process_Hazards,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-09-07,Process_Hazards,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-09-07,Housekeeping,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Housekeeping,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-09-07,External_Storage,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-09-07,Management_of_Change,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Construction,Completed Verified,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Automatic_Fire_Detection,Completed Not Verified,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Permits_to_Work,Completed Not Verified,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Maintenance,Under Review,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Maintenance,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,External_Storage,Completed Not Verified,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Process_Hazards,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Sprinkler_Protection,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Special_Fixed_Fire_Protection,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Security,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Security,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Compartmentation,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-30,Requirement,2024-06-06,2024-09-07,Management_of_Change,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,346.0,True,93.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-08-07,Flammable_Liquids,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,377.0,True,62.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-08-07,Process_Hazards,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,377.0,True,62.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-08-07,General_Maintenance,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,377.0,True,62.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-08-07,Fire_Safety_Management,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,377.0,True,62.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-08-07,Process_Hazards,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,377.0,True,62.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-08-07,Fire_Safety_Management,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,377.0,True,62.0,Other,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Requirement,2024-06-06,2024-08-07,Housekeeping,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,377.0,True,62.0,Housekeeping,414,28
Property,ED9AA810325FA7672257BDF9ACE7A81F,2024-05-28,Recommendation,2024-06-06,,Compartmentation,No Response,,FBD1E7BA9564863B88D5C43CB833AFAF,5BC06F5800D415CC95E1349EDBACA425,,True,0.0,False,,Other,414,28
Property,EDC8922965E8BC747E3E5799DE1578A9,2021-05-04,Requirement,2021-05-10,2021-09-10,Process_Hazards,Completed Not Verified,2022-04-26,92A54B358B4CF53CCA4095E4697E1004,F4A5F77DBC261A64BD853D05F8410365,351.0,True,1439.0,True,123.0,Other,254,5
